district,marriged,eco,총계,ratio
서울특별시 종로구,65088,71,131531,49.4849123
서울특별시 중구,51446,83,106393,48.35468499
서울특별시 용산구,98040,67,187585,52.26430685
서울특별시 성동구,133368,62,251484,53.03239968
서울특별시 광진구,155228,59,312181,49.72371797
서울특별시 동대문구,156952,72,311471,50.39056606
서울특별시 중랑구,182391,50,352356,51.76327351
서울특별시 성북구,209222,57,389212,53.7552799
서울특별시 강북구,144484,42,280887,51.43847882
서울특별시 도봉구,162615,53,297441,54.67134659
서울특별시 노원구,264456,50,483317,54.71688354
서울특별시 은평구,222151,54,413163,53.76836745
서울특별시 서대문구,133548,62,265026,50.39052772
서울특별시 마포구,166442,56,323869,51.39176642
서울특별시 양천구,224512,42,394857,56.85906543
서울특별시 강서구,266086,44,489344,54.37606265
서울특별시 구로구,199935,37,352145,56.77632793
서울특별시 금천구,103201,49,201385,51.24562405
서울특별시 영등포구,174443,55,315330,55.32077506
서울특별시 동작구,182083,48,348085,52.3099243
서울특별시 관악구,206304,46,447355,46.11639526
서울특별시 서초구,207849,50,352667,58.93633371
서울특별시 강남구,254475,62,464687,54.7626682
서울특별시 송파구,307188,65,539989,56.88782549
서울특별시 강동구,210162,54,382072,55.00586277
부산광역시 중구,18457,71,40144,45.97698286
부산광역시 서구,48670,49,100269,48.53942894
부산광역시 동구,39214,38,79902,49.07762008
부산광역시 영도구,57218,43,116219,49.23291372
부산광역시 부산진구,171992,36,332542,51.72038419
부산광역시 동래구,128087,45,229302,55.8595215
부산광역시 남구,131804,39,246919,53.37944832
부산광역시 북구,144860,32,261439,55.40871867
부산광역시 해운대구,197348,37,350166,56.35841287
부산광역시 사하구,156616,40,288773,54.23498734
부산광역시 금정구,113720,36,220474,51.57977811
부산광역시 강서구,45324,35,70974,63.86000507
부산광역시 연제구,99292,40,178121,55.74412899
부산광역시 수영구,82332,55,153888,53.50124766
부산광역시 사상구,108827,32,208785,52.12395526
부산광역시 기장군,72648,28,118622,61.24327696
제주특별자치도 제주시,199598,46,365913,54.54793899
제주특별자치도 서귀포시,71659,49,127353,56.26801096
